,Id,Code,Name,Class,Standard Concept Caption,Valid Start Date,Valid End Date,RC,DRC,PC,DPC,Domain,Vocabulary
,45609815,Y28.2XXS,"Contact with sword or dagger, undetermined intent, sequela",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45609813,Y25.XXXS,"Contact with explosive material, undetermined intent, sequela",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45609785,X52.XXXS,"Prolonged stay in weightless environment, sequela",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45609774,X10.1XXS,"Contact with hot food, sequela",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45609740,W50.0XXD,"Accidental hit or strike by another person, subsequent encounter",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Observation,ICD10CM
,45609735,W40.1XXS,"Explosion of explosive gases, sequela",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45609726,W29.0XXS,"Contact with powered kitchen appliance, sequela",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45609725,W27.5XXS,"Contact with paper-cutter, sequela",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45609724,W27.4XXS,"Contact with kitchen utensil, sequela",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45609720,W26.0XXS,"Contact with knife, sequela",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45609717,W22.10XS,"Striking against or struck by unspecified automobile airbag, sequela",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45609715,W22.09XS,"Striking against other stationary object, sequela",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
