,Id,Code,Name,Class,Standard Concept Caption,Valid Start Date,Valid End Date,RC,DRC,PC,DPC,Domain,Vocabulary
,45608290,S79.199S,"Other physeal fracture of lower end of unspecified femur, sequela",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45608289,S79.149P,"Salter-Harris Type IV physeal fracture of lower end of unspecified femur, subsequent encounter for fracture with malunion",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45608288,S79.142D,"Salter-Harris Type IV physeal fracture of lower end of left femur, subsequent encounter for fracture with routine healing",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45608287,S79.121K,"Salter-Harris Type II physeal fracture of lower end of right femur, subsequent encounter for fracture with nonunion",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45608285,S79.112G,"Salter-Harris Type I physeal fracture of lower end of left femur, subsequent encounter for fracture with delayed healing",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45608284,S79.109K,"Unspecified physeal fracture of lower end of unspecified femur, subsequent encounter for fracture with nonunion",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45608283,S79.109D,"Unspecified physeal fracture of lower end of unspecified femur, subsequent encounter for fracture with routine healing",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45608282,S79.011K,"Salter-Harris Type I physeal fracture of upper end of right femur, subsequent encounter for fracture with nonunion",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45608242,S72.92XG,"Unspecified fracture of left femur, subsequent encounter for closed fracture with delayed healing",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
,45608241,S72.90XP,"Unspecified fracture of unspecified femur, subsequent encounter for closed fracture with malunion",7-char billing code,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Condition,ICD10CM
